J. and N. Tait,537
Fotorama,171
Helen Gardner Picture Players,420
Projektions-AG Union (PAGU),709
SocietÃ  Italiana Cines,241
Societatea Filmului de Arta Leon Popescu,187
Nordisk Film,310
SociÃ©tÃ© des Etablissements L. Gaumont,1853
Svenska Biografteatern AB,888
SociÃ©tÃ© des Etablissements L. Gaumont,1295
Belge CinÃ©ma Film,112
SociÃ©tÃ© des Etablissements L. Gaumont,1000
Independent Moving Pictures Co. of America (IMP),527
Majestic Motion Picture Company,1050
New York Motion Picture,121
Itala Film,2838
Famous Players Film Company,908
SociÃ©tÃ© des Etablissements L. Gaumont,279
SociÃ©tÃ© des Etablissements L. Gaumont,1112
SociÃ©tÃ© des Etablissements L. Gaumont,885
Vitagraph Company of America,181
Dansk Biograf Compagni,449
Hobart Bosworth Productions,429
Seattle Film Co.,378
Biograph Company,1195
The Oz Film Manufacturing Company,354
Famous Players Film Company,154
ProJa FilmgyÃ¡r,157
Shubert Film Corporation,209
New York Motion Picture,130
Peerless Productions,196
Nonpareil Feature Film Corp.,347
David W. Griffith Corp.,20885
Jesse L. Lasky Feature Play Company,859
Jesse L. Lasky Feature Play Company,2217
Fox Film Corporation,728
Jesse L. Lasky Feature Play Company,172
Dansk Biograf Compagni,242
New York Motion Picture,270
Fine Arts Film Company,124
Khanzhonkov,751
SocietÃ  Italiana Cines,535
Fox Film Corporation,1047
SociÃ©tÃ© des Etablissements L. Gaumont,3936
Jesse L. Lasky Feature Play Company,143
Fine Arts Film Company,111
Fine Arts Film Company,132
Fine Arts Film Company,122
Fine Arts Film Company,126
Fine Arts Film Company,114
Triangle Film Corporation,13116
SociÃ©tÃ© des Etablissements L. Gaumont,814
Kay-Bee Pictures,128
Projektions-AG Union (PAGU),163
The Essanay Film Manufacturing Company,290
Universal Film Manufacturing Company,182
Famous Players Film Company,333
Fine Arts Film Company,498
Universal Film Manufacturing Company,236
Universal Film Manufacturing Company,434
Fox Film Corporation,291
Paragon Films,122
Nordisk Film,552
Paramount Pictures,474
Mary Pickford Company,623
Douglas Fairbanks Pictures,250
Artcraft Pictures Corporation,1224
Mary Pickford Company,743
Artcraft Pictures Corporation,712
Universal Film Manufacturing Company,335
Svenska Biografteatern AB,1384
Oliver Morosco Photoplay Company,132
Svenska Biografteatern AB,138
Douglas Fairbanks Pictures,537
Mary Pickford Company,730
Projektions-AG Union (PAGU),533
Svenska Biografteatern AB,1411
Paramount Pictures,739
Projektions-AG Union (PAGU),247
Le Film d'Art,116
Projektions-AG Union (PAGU),496
Norma Talmadge Film Corporation,270
D.W. Griffith Productions,872
Pickford Film,588
Pickford Film,111
Maxwell Productions (I),607
Artcraft Pictures Corporation,162
D.W. Griffith Productions,316
Triangle Film Corporation,684
Charles Chaplin Productions,5411
Pickford Film,1323
National Film Corporation of America,631
SociÃ©tÃ© des Etablissements L. Gaumont,295
Famous Players-Lasky Corporation,243
Richard-Oswald-Produktion,1050
First National Pictures,941
Projektions-AG Union (PAGU),1544
Azteca Films,149
Canadian Photoplays Ltd.,824
Thomas H. Ince Corporation,141
Universal Film Manufacturing Company,1269
D.W. Griffith Productions,8777
Thomas H. Ince Corporation,622
Mary Pickford Company,1284
Universal Film Manufacturing Company,801
Artcraft Pictures Corporation,1103
First National Pictures,653
Paramount Pictures,242
Decla-Bioscop AG,517
Paramount Pictures,362
Svenska Biografteatern AB,1117
Mary Pickford Company,906
Projektions-AG Union (PAGU),1157
PathÃ© FrÃ¨res,1303
Decla-Bioscop AG,51644
Paramount Pictures,1671
Mayflower Photoplay Company,142
D.W. Griffith Productions,160
Decla-Bioscop AG,112
Nordisk Film,733
Projektions-AG Union (PAGU),1539
Paramount Pictures,587
D.W. Griffith Productions,1519
Richard-Oswald-Produktion,400
Maurice Tourneur Productions,308
William S. Hart Productions,115
Douglas Fairbanks Pictures,741
Universal Film Manufacturing Company,310
Mack Sennett Comedies,713
Deutsche Lichtbild-Gesellschaft e.V. (DLG),121
Messters Projektion GmbH,533
International et Commercial de la CinÃ©matographie (Thalman),296
Nordisk Film,1034
Paramount Pictures,4477
Pioneer Film Corporation,116
Svensk Filmindustri (SF),674
Selznick Pictures Corporation,271
Goron Film,277
Decla-Bioscop AG,791
Kessel & Baumann,244
PathÃ© FrÃ¨res,145
Gaumont SÃ©rie Pax,176
Cosmopolitan Productions,121
Fox Film Corporation,310
Svenska Biografteatern AB,297
Messters Projektion GmbH,245
Constance Talmadge Film Company,130
Douglas Fairbanks Pictures,2020
Christiana Film,184
Douglas Fairbanks Pictures,113
James Oliver Curwood Productions Inc.,175
Eminent Authors Pictures Inc.,1898
Mary Pickford Company,321
Svensk Filmindustri (SF),975
Ebner & Co.,143
Paramount Pictures,121
Mary Pickford Company,199
Projektions-AG Union (PAGU),584
Paramount Pictures,152
William S. Hart Productions,178
Ilag-Film,384
May-Film,330
D.W. Griffith Productions,4734
Paramount Pictures,1295
Micheaux Book & Film Company,2019
Goldwyn Pictures Corporation,1003
Famous Players-Lasky Corporation,1191
Max Linder Productions,337
Projektions-AG Union (PAGU),973
Lois Weber Productions,436
Cosmopolitan Productions,167
Nazimova Productions,844
Metro Pictures Corporation,393
D.W. Griffith Productions,118
Gaumont SÃ©rie Pax,338
Cosmopolitan Productions,258
Paramount Pictures,100
Metro Pictures Corporation,2935
May-Film,276
May-Film,229
Svensk Filmindustri (SF),197
Charles Chaplin Productions,101619
Svensk Filmindustri (SF),9322
Mary Pickford Company,330
Paramount Pictures,286
Decla-Bioscop AG,4695
Douglas Fairbanks Pictures,194
D.W. Griffith Productions,4475
Universal Film Manufacturing Company,441
ShÃ´chiku Kinema Kenkyujo,119
Hal Roach Studios,901
Projektions-AG Union (PAGU),114
Rex-Film GmbH,199
Uco-Film GmbH,1273
Paramount Pictures,2958
PathÃ© FrÃ¨res,130
Douglas Fairbanks Pictures,800
Inspiration Pictures,1685
Decla-Bioscop AG,298
Cosmopolitan Productions,706
Famous Players-Lasky Corporation,2189
Deulig Film,535
Films A. Legrand,328
Sophus Madsen Film,317
Whaling Film Corp.,319
Universal Film Manufacturing Company,2777
Primus-Film GmbH,331
Hal Roach Studios,1543
Sleepy Hollow Corporation,207
Thomas H. Ince Corporation,254
Houdini Picture Corporation,192
Paramount Pictures,395
Fox Film Corporation,310
Famous Players-Lasky Corporation,297
Jofa-Atelier Berlin-Johannisthal,82873
Jackie Coogan Productions,676
WÃ¶rner-Filmgesellschaft,225
Uco-Film GmbH,1436
Metro Pictures Corporation,419
Douglas Fairbanks Pictures,1886
PAN Film,787
B.P. Schulberg Productions,345
Goldwyn Pictures Corporation,526
Fox Film Corporation,140
Sascha-Film,159
ColisÃ©e Films,1853
Mary Pickford Company,397
Max Linder Productions,472
Technicolor,609
Universal Film Manufacturing Company,108
Master Films,130
Ernst Lubitsch-Film,422
Cosmopolitan Productions,955
Paramount Pictures,351
Comedia-Film GmbH,107
PathÃ© Consortium CinÃ©ma,1016
Paramount Pictures,470
Mack Sennett Comedies,1041
Svenska Biografteatern AB,136
Svensk Filmindustri (SF),1022
Houdini Picture Corporation,104
Universal Pictures,4452
Cosmopolitan Productions,874
Charles Chaplin Productions,3891
Leonardo-Film,241
Films Abel Gance,1678
Metro Pictures Corporation,466
Carl Froelich-Film GmbH (I),234
Universal Pictures,350
Goldwyn Pictures Corporation,770
Stern-Film,324
Rex-Film GmbH,117
Paramount Pictures,1768
D.W. Griffith Productions,143
Inspiration Pictures,373
Universal Pictures,102
Charles Chaplin Productions,4426
Paramount Pictures,753
Mezhrabpom-Rus,2183
D.W. Griffith Productions,332
Warner Bros.,393
Frank Lloyd Productions,116
Sol Lesser Productions,194
Alaska Moving Picture Corp.,198
Inspiration Pictures,596
Universal Pictures,110
Les Films Jean Renoir,510
Universum Film (UFA),695
Famous Players-Lasky Corporation,119
Metro-Goldwyn-Mayer (MGM),2771
Constance Talmadge Film Company,245
CinÃ©graphic,634
Fox Film Corporation,1797
D.W. Griffith Productions,268
Cosmopolitan Productions,661
Films Albatros,136
Universum Film (UFA),11361
Paramount Pictures,932
Warner Bros.,1002
Universum Film (UFA),1446
Paramount Pictures,439
Goskino,827
Decla-Bioscop AG,3656
Decla-Bioscop AG,4801
Berolina Film GmbH,2008
Mezhrabpom-Rus,125
Famous Players-Lasky Corporation,797
Metro-Goldwyn Pictures Corporation,397
Inspiration Pictures,146
Frank Lloyd Productions,424
Buster Keaton Productions,35132
Goskino,6434
Douglas Fairbanks Pictures,5141
Goldwyn Pictures Corporation,417
Metro-Goldwyn Pictures Corporation,301
Cosmopolitan Productions,123
Micheaux Film,618
Goskino,49221
Metro-Goldwyn-Mayer (MGM),479
Warner Bros.,227
Ritz-Carlton Pictures,660
Elton Corporation,384
Palladium Film,1562
Art Finance Corporation,1584
Films RenÃ© Fernand,123
CinÃ©graphic,293
Sofar-Film,1299
Victoria Film,387
Buster Keaton Productions,3490
Charles Chaplin Productions,91960
Universal Pictures,138
Metro-Goldwyn Pictures Corporation,8439
Films Albatros,206
Joseph M. Schenck Productions,143
Film Andes S.A.,101
Warner Bros.,921
Metro-Goldwyn Pictures Corporation,519
Norma Talmadge Film Corporation,120
Fox Film Corporation,457
Mary Pickford Company,854
Fox Film Corporation,1259
First National Pictures,4307
An Erich von Stroheim Production,2049
Metro-Goldwyn Pictures Corporation,874
Bando Tsumasaburo Production,271
B.P. Schulberg Productions,197
Paramount Pictures,117
B.P. Schulberg Productions,262
Bavaria Film,1952
Films A. Legrand,179
Metro-Goldwyn Pictures Corporation,131
Metro-Goldwyn Pictures Corporation,311
Fox Film Corporation,154
DeMille Pictures Corporation,115
Paramount Pictures,461
Academy Photoplays,294
Buster Keaton Productions,8412
H. K. Breslauer-Film,181
Paramount Pictures,806
The Samuel Goldwyn Company,223
Metro-Goldwyn-Mayer (MGM),1550
Paramount Pictures,279
Universum Film (UFA),866
Mundus-Film,671
Georges Loureau,143
Chadwick Pictures Corporation,1365
