J. and N. Tait,The Story of the Kelly Gang
Fotorama,Den sorte drÃ¸m
Helen Gardner Picture Players,Cleopatra
Projektions-AG Union (PAGU),Madame DuBarry
SocietÃ  Italiana Cines,Quo Vadis?
Societatea Filmului de Arta Leon Popescu,Independenta Romaniei
Nordisk Film,Atlantis
SociÃ©tÃ© des Etablissements L. Gaumont,FantÃ´mas - Ã€ l'ombre de la guillotine
Svenska Biografteatern AB,Ingeborg Holm
SociÃ©tÃ© des Etablissements L. Gaumont,Juve contre FantÃ´mas
Belge CinÃ©ma Film,Maudite soit la guerre
SociÃ©tÃ© des Etablissements L. Gaumont,Le mort qui tue
Independent Moving Pictures Co. of America (IMP),Traffic in Souls
Majestic Motion Picture Company,The Avenging Conscience: or 'Thou Shalt Not Kill'
New York Motion Picture,The Bargain
Itala Film,Cabiria
Famous Players Film Company,Cinderella
SociÃ©tÃ© des Etablissements L. Gaumont,L'enfant de Paris
SociÃ©tÃ© des Etablissements L. Gaumont,FantÃ´mas contre FantÃ´mas
SociÃ©tÃ© des Etablissements L. Gaumont,Le faux magistrat
Vitagraph Company of America,A Florida Enchantment
Dansk Biograf Compagni,Det hemmelighedsfulde X
Hobart Bosworth Productions,Hypocrites
Seattle Film Co.,In the Land of the Head Hunters
Biograph Company,Judith of Bethulia
The Oz Film Manufacturing Company,The Patchwork Girl of Oz
Famous Players Film Company,Tess of the Storm Country
ProJa FilmgyÃ¡r,A tolonc
Shubert Film Corporation,The Wishing Ring: An Idyll of Old England
New York Motion Picture,The Wrath of the Gods
Peerless Productions,Alias Jimmy Valentine
Nonpareil Feature Film Corp.,Alice in Wonderland
David W. Griffith Corp.,The Birth of a Nation
Jesse L. Lasky Feature Play Company,Carmen
Jesse L. Lasky Feature Play Company,The Cheat
Fox Film Corporation,A Fool There Was
Jesse L. Lasky Feature Play Company,The Golden Chance
Dansk Biograf Compagni,HÃ¦vnens Nat
New York Motion Picture,The Italian
Fine Arts Film Company,Martyrs of the Alamo
Khanzhonkov,Posle smerti
SocietÃ  Italiana Cines,Rapsodia satanica
Fox Film Corporation,The Regeneration
SociÃ©tÃ© des Etablissements L. Gaumont,Les vampires
Jesse L. Lasky Feature Play Company,Young Romance
Fine Arts Film Company,The Devil's Needle
Fine Arts Film Company,Flirting with Fate
Fine Arts Film Company,The Good Bad-Man
Fine Arts Film Company,The Half-Breed
Fine Arts Film Company,His Picture in the Papers
Triangle Film Corporation,Intolerance: Love's Struggle Throughout the Ages
SociÃ©tÃ© des Etablissements L. Gaumont,Judex
Kay-Bee Pictures,The Return of Draw Egan
Projektions-AG Union (PAGU),Schuhpalast Pinkus
The Essanay Film Manufacturing Company,Sherlock Holmes
Universal Film Manufacturing Company,Shoes
Famous Players Film Company,Snow White
Fine Arts Film Company,The Social Secretary
Universal Film Manufacturing Company,'49-'17
Universal Film Manufacturing Company,Bucking Broadway
Fox Film Corporation,Cleopatra
Paragon Films,A Girl's Folly
Nordisk Film,Himmelskibet
Paramount Pictures,Joan the Woman
Mary Pickford Company,The Little Princess
Douglas Fairbanks Pictures,A Modern Musketeer
Artcraft Pictures Corporation,The Poor Little Rich Girl
Mary Pickford Company,Rebecca of Sunnybrook Farm
Artcraft Pictures Corporation,A Romance of the Redwoods
Universal Film Manufacturing Company,Straight Shooting
Svenska Biografteatern AB,Terje Vigen
Oliver Morosco Photoplay Company,Tom Sawyer
Svenska Biografteatern AB,TÃ¶sen frÃ¥n Stormyrtorpet
Douglas Fairbanks Pictures,Wild and Woolly
Mary Pickford Company,Amarilly of Clothes-Line Alley
Projektions-AG Union (PAGU),Die Augen der Mumie Ma
Svenska Biografteatern AB,Berg-Ejvind och hans hustru
Paramount Pictures,The Blue Bird
Projektions-AG Union (PAGU),Carmen
Le Film d'Art,La dixiÃ¨me symphonie
Projektions-AG Union (PAGU),Das fidele GefÃ¤ngnis
Norma Talmadge Film Corporation,The Forbidden City
D.W. Griffith Productions,Hearts of the World
Pickford Film,Johanna Enlists
Pickford Film,M'Liss
Maxwell Productions (I),The Married Virgin
Artcraft Pictures Corporation,Old Wives for New
D.W. Griffith Productions,A Romance of Happy Valley
Triangle Film Corporation,Shifting Sands
Charles Chaplin Productions,Shoulder Arms
Pickford Film,Stella Maris
National Film Corporation of America,Tarzan of the Apes
SociÃ©tÃ© des Etablissements L. Gaumont,Tih Minh
Famous Players-Lasky Corporation,The Whispering Chorus
Richard-Oswald-Produktion,Anders als die Andern
First National Pictures,Ravished Armenia
Projektions-AG Union (PAGU),Die Austernprinzessin
Azteca Films,El automÃ³vil gris
Canadian Photoplays Ltd.,Back to God's Country
Thomas H. Ince Corporation,Behind the Door
Universal Film Manufacturing Company,Blind Husbands
D.W. Griffith Productions,Broken Blossoms or The Yellow Man and the Girl
Thomas H. Ince Corporation,The Busher
Mary Pickford Company,Daddy-Long-Legs
Universal Film Manufacturing Company,The Delicious Little Devil
Artcraft Pictures Corporation,Don't Change Your Husband
First National Pictures,The Greatest Question
Paramount Pictures,The Grim Game
Decla-Bioscop AG,Harakiri
Paramount Pictures,Hawthorne of the U.S.A.
Svenska Biografteatern AB,Herr Arnes pengar
Mary Pickford Company,The Hoodlum
Projektions-AG Union (PAGU),Ich mÃ¶chte kein Mann sein
PathÃ© FrÃ¨res,J'accuse
Decla-Bioscop AG,Das Cabinet des Dr. Caligari
Paramount Pictures,Male and Female
Mayflower Photoplay Company,The Miracle Man
D.W. Griffith Productions,The Mother and the Law
Decla-Bioscop AG,Die Pest in Florenz
Nordisk Film,PrÃ¦sidenten
Projektions-AG Union (PAGU),Die Puppe
Paramount Pictures,The Roaring Road
D.W. Griffith Productions,True Heart Susie
Richard-Oswald-Produktion,Unheimliche Geschichten
Maurice Tourneur Productions,Victory
William S. Hart Productions,Wagon Tracks
Douglas Fairbanks Pictures,When the Clouds Roll by
Universal Film Manufacturing Company,The Wicked Darling
Mack Sennett Comedies,Yankee Doodle in Berlin
Deutsche Lichtbild-Gesellschaft e.V. (DLG),Algol - TragÃ¶die der Macht
Messters Projektion GmbH,Anna Boleyn
International et Commercial de la CinÃ©matographie (Thalman),L'Atlantide
Nordisk Film,Blade af Satans bog
Paramount Pictures,Dr. Jekyll and Mr. Hyde
Pioneer Film Corporation,Dr. Jekyll and Mr. Hyde
Svensk Filmindustri (SF),Erotikon
Selznick Pictures Corporation,The Flapper
Goron Film,Der Gang in die Nacht
Decla-Bioscop AG,Genuine
Kessel & Baumann,Headin' Home
PathÃ© FrÃ¨res,L'Hirondelle et la MÃ©sange
Gaumont SÃ©rie Pax,L'homme du large
Cosmopolitan Productions,Humoresque
Fox Film Corporation,Just Pals
Svenska Biografteatern AB,Klostret i Sendomir
Messters Projektion GmbH,Kohlhiesels TÃ¶chter
Constance Talmadge Film Company,The Love Expert
Douglas Fairbanks Pictures,The Mark of Zorro
Christiana Film,Markens grÃ¸de
Douglas Fairbanks Pictures,The Mollycoddle
James Oliver Curwood Productions Inc.,Nomads of the North
Eminent Authors Pictures Inc.,The Penalty
Mary Pickford Company,Pollyanna
Svensk Filmindustri (SF),PrÃ¤stÃ¤nkan
Ebner & Co.,Romeo und Julia im Schnee
Paramount Pictures,The Round-Up
Mary Pickford Company,Suds
Projektions-AG Union (PAGU),Sumurun
Paramount Pictures,Terror Island
William S. Hart Productions,The Toll Gate
Ilag-Film,Von morgens bis mitternachts
May-Film,Das wandernde Bild
D.W. Griffith Productions,Way Down East
Paramount Pictures,Why Change Your Wife?
Micheaux Book & Film Company,Within Our Gates
Goldwyn Pictures Corporation,The Ace of Hearts
Famous Players-Lasky Corporation,The Affairs of Anatol
Max Linder Productions,Be My Wife
Projektions-AG Union (PAGU),Die Bergkatze
Lois Weber Productions,The Blot
Cosmopolitan Productions,Buried Treasure
Nazimova Productions,Camille
Metro Pictures Corporation,The Conquering Power
D.W. Griffith Productions,Dream Street
Gaumont SÃ©rie Pax,Eldorado
Cosmopolitan Productions,Enchantment
Paramount Pictures,Forbidden Fruit
Metro Pictures Corporation,The Four Horsemen of the Apocalypse
May-Film,Das indische Grabmal zweiter Teil - Der Tiger von Eschnapur
May-Film,Das indische Grabmal erster Teil - Die Sendung des Yoghi
Svensk Filmindustri (SF),Johan
Charles Chaplin Productions,The Kid
Svensk Filmindustri (SF),KÃ¶rkarlen
Mary Pickford Company,The Love Light
Paramount Pictures,Miss Lulu Bett
Decla-Bioscop AG,Der mÃ¼de Tod
Douglas Fairbanks Pictures,The Nut
D.W. Griffith Productions,Orphans of the Storm
Universal Film Manufacturing Company,Outside the Law
ShÃ´chiku Kinema Kenkyujo,RojÃ´ no reikion
Hal Roach Studios,A Sailor-Made Man
Projektions-AG Union (PAGU),Sappho
Rex-Film GmbH,Scherben
Uco-Film GmbH,SchloÃŸ VogelÃ¶d
Paramount Pictures,The Sheik
PathÃ© FrÃ¨res,La terre
Douglas Fairbanks Pictures,The Three Musketeers
Inspiration Pictures,Tol'able David
Decla-Bioscop AG,Vier um die Frau
Cosmopolitan Productions,Beauty's Worth
Famous Players-Lasky Corporation,Beyond the Rocks
Deulig Film,Der brennende Acker
Films A. Legrand,Crainquebille
Sophus Madsen Film,Der var engang
Whaling Film Corp.,Down to the Sea in Ships
Universal Film Manufacturing Company,Foolish Wives
Primus-Film GmbH,Die Gezeichneten
Hal Roach Studios,Grandma's Boy
Sleepy Hollow Corporation,The Headless Horseman
Thomas H. Ince Corporation,Lorna Doone
Houdini Picture Corporation,The Man from Beyond
Paramount Pictures,Manslaughter
Fox Film Corporation,Monte Cristo
Famous Players-Lasky Corporation,Moran of the Lady Letty
Jofa-Atelier Berlin-Johannisthal,Nosferatu
Jackie Coogan Productions,Oliver Twist
WÃ¶rner-Filmgesellschaft,Othello
Uco-Film GmbH,Phantom
Metro Pictures Corporation,The Prisoner of Zenda
Douglas Fairbanks Pictures,Robin Hood
PAN Film,Schatten - Eine nÃ¤chtliche Halluzination
B.P. Schulberg Productions,Shadows
Goldwyn Pictures Corporation,Sherlock Holmes
Fox Film Corporation,Sky High
Sascha-Film,Sodom und Gomorrha
ColisÃ©e Films,La souriante Madame Beudet
Mary Pickford Company,Tess of the Storm Country
Max Linder Productions,The Three Must-Get-Theres
Technicolor,The Toll of the Sea
Universal Film Manufacturing Company,The Trap
Master Films,Trapped by the Mormons
Ernst Lubitsch-Film,Das Weib des Pharao
Cosmopolitan Productions,When Knighthood Was in Flower
Paramount Pictures,The Young Rajah
Comedia-Film GmbH,Das alte Gesetz
PathÃ© Consortium CinÃ©ma,Coeur fidÃ¨le
Paramount Pictures,The Covered Wagon
Mack Sennett Comedies,The Extra Girl
Svenska Biografteatern AB,Gunnar Hedes saga
Svensk Filmindustri (SF),GÃ¶sta Berlings saga
Houdini Picture Corporation,Haldane of the Secret Service
Universal Pictures,The Hunchback of Notre Dame
Cosmopolitan Productions,Little Old New York
Charles Chaplin Productions,The Pilgrim
Leonardo-Film,Raskolnikow
Films Abel Gance,La roue
Metro Pictures Corporation,Scaramouche
Carl Froelich-Film GmbH (I),Der Schatz
Universal Pictures,The Shock
Goldwyn Pictures Corporation,Souls for Sale
Stern-Film,Die StraÃŸe
Rex-Film GmbH,Sylvester
Paramount Pictures,The Ten Commandments
D.W. Griffith Productions,The White Rose
Inspiration Pictures,The White Sister
Universal Pictures,White Tiger
Charles Chaplin Productions,A Woman of Paris: A Drama of Fate
Paramount Pictures,Zaza
Mezhrabpom-Rus,Aelita
D.W. Griffith Productions,America
Warner Bros.,Beau Brummel
Frank Lloyd Productions,Black Oxen
Sol Lesser Productions,Captain January
Alaska Moving Picture Corp.,The Chechahcos
Inspiration Pictures,The Enchanted Cottage
Universal Pictures,The Family Secret
Les Films Jean Renoir,La fille de l'eau
Universum Film (UFA),Die Finanzen des GroÃŸherzogs
Famous Players-Lasky Corporation,Forbidden Paradise
Metro-Goldwyn-Mayer (MGM),He Who Gets Slapped
Constance Talmadge Film Company,Her Night of Romance
CinÃ©graphic,L'inhumaine
Fox Film Corporation,The Iron Horse
D.W. Griffith Productions,Isn't Life Wonderful
Cosmopolitan Productions,Janice Meredith
Films Albatros,Kean
Universum Film (UFA),Der letzte Mann
Paramount Pictures,Manhandled
Warner Bros.,The Marriage Circle
Universum Film (UFA),Michael
Paramount Pictures,Monsieur Beaucaire
Goskino,Neobychainye priklyucheniya mistera Vesta v strane bolshevikov
Decla-Bioscop AG,Die Nibelungen: Kriemhilds Rache
Decla-Bioscop AG,Die Nibelungen: Siegfried
Berolina Film GmbH,Orlacs HÃ¤nde
Mezhrabpom-Rus,Papirosnitsa ot Mosselproma
Famous Players-Lasky Corporation,Peter Pan
Metro-Goldwyn Pictures Corporation,The Red Lily
Inspiration Pictures,Romola
Frank Lloyd Productions,The Sea Hawk
Buster Keaton Productions,Sherlock Jr.
Goskino,Stachka
Douglas Fairbanks Pictures,The Thief of Bagdad
Goldwyn Pictures Corporation,Wild Oranges
Metro-Goldwyn Pictures Corporation,Wine of Youth
Cosmopolitan Productions,Yolanda
Micheaux Film,Body and Soul
Goskino,Bronenosets Potemkin
Metro-Goldwyn-Mayer (MGM),The Circle
Warner Bros.,Clash of the Wolves
Ritz-Carlton Pictures,Cobra
Elton Corporation,Don Q Son of Zorro
Palladium Film,Du skal Ã¦re din hustru
Art Finance Corporation,The Eagle
Films RenÃ© Fernand,Le fantÃ´me du Moulin-Rouge
CinÃ©graphic,Feu Mathias Pascal
Sofar-Film,Die freudlose Gasse
Victoria Film,Glomdalsbruden
Buster Keaton Productions,Go West
Charles Chaplin Productions,The Gold Rush
Universal Pictures,The Goose Woman
Metro-Goldwyn Pictures Corporation,Greed
Films Albatros,Gribiche
