Production_company,No. of movies
J. and N. Tait,1
"""Ulitka"" Studio",1
"JSC ""A. Khanzhonkov and K""",1
"Kompanija ""TransMashHolding""",1
"Movies ""N"" More (India) PVT Ltd.",1
"Przedsiebiorstwo Realizacji FilmÃ³w ""Zespoly Filmowe""",1
"ZRF ""Kadr""",1
"Zespol Filmowy ""Iluzjon""",2
"Zespol Filmowy ""Kamera""",4
"Zespol Filmowy ""Perspektywa""",2
"Zespol Filmowy ""Rondo""",1
"Zespol Filmowy ""Syrena""",2
"Zespol Filmowy ""Tor""",5
"ZespÃ³l Filmowy ""Dom""",1
"ZespÃ³l Filmowy ""Droga""",1
"ZespÃ³l Filmowy ""Kadr""",11
"ZespÃ³l Filmowy ""Silesia""",2
"ZespÃ³l Filmowy ""Studio""",1
"ZespÃ³l Filmowy ""X""",2
'Am I Wrong?' Productions,1
'Konomys Taishou' Rengou,1
.406 Production,1
.hack Conglomerate,1
1 A Productions,1
1 Degree Pictures,1
1 Production Film,1
1 in 10 Films,1
1+2 Seisaku Iinkai,1
1-800-Love,1
10% Productions,2
10.80 Films,1
100 Bares,1
100% Synthetic Films,2
100m Films,2
101 Productions,1
101st Street Films,1
108 Sound Studio,1
10th Street Entertainment,1
110 In The Shade Productions,1
1119773 Ontario Inc.,1
12 AM Pictures,1
120 Films,2
120dB Films,8
1244 Films,1
129 Productions,1
13 Moons Productions LLC,1
14 Luglio Cinematografica,2
14 Old Bond Street Leasing,1
1492 Pictures,4
15th Street Films,2
16/9 Action Plan of the European Union,1
1718 Studio,1
18 Dicembre,1
1818 Productions,1
19 Entertainment,2
1944 Films,1
1971Cine,1
1976 Experience,1
1984 Private Defense Contractors,1
1992 Number Four Limited Partnership,1
19th & Wilson,1
19th Hole Entertainment,1
2 Bridges Productions,1
2 Loop Films,3
2 Many Executives,1
2 Smooth Film Productions,1
2-Team Productions,1
2.4.7. Films,1
20 Steps Productions,1
20/40 Films,1
2000 A.D. Productions,1
2000 Bilder,3
2003 Productions,1
2004 Filmproduktion,1
207 Pictures,1
20th Century Fox Argentina,3
20th Century Fox Film Corporation,1
20th Century Fox Television,2
20th Century Fox,1
20th Century Pictures,15
21 Century Shengkai Film,2
21-Producciones,1
21st Century DreamQuest Films,1
21st Century Film Corporation,24
21st Century Film Production,1
21st Century Films,1
22 Dicembre,2
23 Giugno,2
23/5 Filmproduktion GmbH,3
235 Films,6
24 Frame Entertainment,1
24 Frames Factory,1
24 Frames Film GmbH & Co. KG,1
24 Horses,1
24/36 Productions,1
24fps Productions,3
25th Hour Productions,1
26 Films,2
27 Films Production,1
27 Productions,3
2710 Inc.,1
285 Pictures,1
2929 Productions,6
2B Pictures,1
2D Entertainment,2
2DS Productions,1
2K Filmproduktion,1
2K Media,1
2M Films,1
2ML Productions,1
2Plan2,1
2T Produzione Film,2
2X Productions,1
2am Films,1
2landa,1
2nd Act Films,1
2nd Generation Films,2
3 Arts Entertainment,5
3 Emme Cinematografica,4
3 Finger Productions,1
3 Miles Apart Productions Ltd.,1
3 Red Peppers,1
3 Ring Circus Films,4
3 Spears Pty. Ltd.,2
3-H Films,1
30 Something Productions,1
309 Productions,1
31 Juin Films,1
31 North 62 East,1
3210 Films,1
35 Terrace,1
360 Entertainment,1
360 Pictures,2
362 Pictures,1
38 Productions,1
391 Productions,2
3:41am,1
3B Productions,10
3Blackdot,1
3D Mulitimedia L.L.C.,1
3D,1
3DD Productions,1
3H Films,2
3H Productions,3
3J+1 Bt.,1
3L Filmproduktion,2
3L Productions,1
3Mark Entertainment,1
3P Productions,1
3amfilms.com,1
3rd Vision Films,2
4 1/2 Film,12
4 Kids Entertainment,2
4 Mecs en Baskets,1
4 Proof Film,1
4 Ã  4 Productions,1
40 Acres & A Mule Filmworks,11
415 Productions,1
42 Frames,1
42 Km Film,1
42nd Street Productions S.L.,2
44th Street Films,1
45 RPM Alberta Productions,1
47Ã¨me ParallÃ¨le,3
49 Films,1
49th Parallel Productions,3
4Go West Productions,1
4L,3
4Lane Productions,1
4U2C Films,1
4k Films,1
4th Wall Films,1
5 Aces Productions,1
5 Card Productions,1
5 Continents,2
5 Films S.A.,1
5 Kidd Productions,1
5 Star Productions,1
5 States,1
5 Stick Films,1
500 Pieces Films,1
5150 Productions,1
54 Productions,1
5600 Film,1
57th & Irving Productions,2
5ive Girls Films,1
6 Sales,1
60/80 Productions,1
6140 Productions,1
64 A Films,1
66 Productions,1
6603301 Canada,1
7 Arts International,1
7 Films CinÃ©ma,5
7 Network,1
7 Pictures,2
7 Spirits Entertainment,1
7.23 Productions,2
72 Film,1
72nd Street Productions,1
73140323 Producciones CinematogrÃ¡ficas,1
75 Films,1
777 Films Corporation,2
7A Productions,1
7Films7,1
7IA,1
7e Apache Film,1
7even Entertainment,1
7i Tehni,1
7th Voyage,1
8 Ball Stunts of Hollywood,1
88 Productions,1
888 Productions,1
900 Films,1
98 MPH Productions,1
99 Film Production & Development Corp.,1
99 Ways Entertainment,1
9Y6S Film,1
@Movie Japan K.K.,1
A & S Productions,2
A + C Reuter New Cinema,1
A Atalanta,2
A Bad Way Ltd.,1
A Band Apart,3
A Bigger Boat,1
A Common Thread,1
A Contraluz Films,1
A ExceÃ§Ã£o e a Regra,1
A Fire in the Lake,1
A Forbidden Love Film Partnership,1
A Happy Place,1
A Hill-Gordon-Silver Production,1
A Lucky Old Sun Production,1
A Million Monkeys,2
A Plus Entertainment,4
A Private Slyde Productions,1
A Private View,7
A Slice of Pie Productions LLC,1
A Space Between,1
A Studios,1
A The Entertainment Group,1
A The Personals Production,1
A Vicious Circle,1
A Vogue & Cline production,1
A Wandering Star,1
A Winter's Tale Inc.,1
A&G,1
A&M Films,10
A&M Sound Pictures,1
A-1 Kino Video,1
A-A Productions,1
A-C Productions,1
A-Channel Drama Fund,1
A-Erre Cinematografica,1
A-Mark Entertainment,4
A-N Production Committee,1
A-One Cinema,1
A-Pix Entertainment,5
A-Post Pictures,1
A-Punto ELSA,1
A-S Panorama International Films Inc.,1
A-SI Films,1
A-Team,4
A. Deshe,1
A. Film,1
A. Llorens OlivÃ© Producciones CinematogrÃ¡ficas S.A.,1
A.A. Les Films Belge,1
A.A. Productions Ltd.,1
A.A.C. Production,1
A.B.A. Film Corporation,1
A.C. Lyles Productions,14
A.C.E. Films,1
A.D. Creation,1
A.D.I. Inc.,1
A.E.C. Filmproduktions GmbH & Co. Beteiligungs-GmbH,1
A.F. Cinema e VÃ­deo,3
A.G. Films P.,1
A.G. Films,5
A.G.&S.,1
A.I.A. Productions,1
A.J. Films,6
A.J. Productions,2
A.J.O.Z. Films,6
A.K. Films,1
A.K. International,2
A.K. Movies,1
A.M. Trading International S.r.l.,2
A.M.A,1
A.M.A. Film,11
A.N.A.,1
A.N.P.A. (Agence Nationale de Promotion de l'Audiovisuel),1
A.P. Dovzenko Filmstudio,1
A.P.P.P.,1
A.Pictures Film & TV Production,1
A.R. Movies,1
A.R. Shipman Productions,1
A.S.L.K. (Algemene Spaar en Lijfrente Kas),1
A.S.P.,2
A.T.I.C.A.,3
A.V.H. San Luis,1
A.V.M. Productions,5
A.W. Hackel Productions,2
A.W.O.L. Studios,1
A/S Elan Film,1
AAA Pictures,1
AAA Productions,2
AAMPI Inc.,1
AAR Films,1
AARU Productions,2
AB Films,1
AB Svensk Industrie,1
AB,2
AB-PT Pictures Corp.,2
