Director,Max Votes
A. Bhimsingh,172
A. Dean Bell,929
A. Edward Sutherland,4330
A. Karunakaran,3012
A. Raven Cruz,565
A.C. Trilogchander,146
A.D. Calvo,630
A.J. Kparr,430
A.P. Nagarajan,278
A.R. Murugadoss,53125
A.S. Ravi Kumar Chowdary,164
A.W. Vidmer,1980
Aage Rais-Nordentoft,435
Aanand L. Rai,325
AarÃ³n FernÃ¡ndez Lesur,175
Aarne Tarkas,426
Aaron Barsky,359
Aaron Harvey,358
Aaron J. Wiederspahn,553
Aaron James,113
Aaron Kim Johnston,862
Aaron Lipstadt,2177
Aaron Mendelsohn,132
Aaron Michael Metchik,106
Aaron Norris,7501
Aaron Osborne,211
Aaron Robson,258
Aaron Schneider,21443
Aaron Vanek,148
Aaron Woodley,731
Aaron Woolfolk,161
Abbas Fahdel,206
Abbas Kiarostami,19750
Abbas Tyrewala,23743
Abbe Wool,1115
Abby Berlin,176
Abdelkrim Bahloul,131
Abdellatif Kechiche,6516
Abderrahmane Sissako,1201
Abdul Malik Abbott,1819
Abdullah Oguz,7194
Abe Forsythe,337
Abe Levitow,1548
Abe Sylvia,10103
Abel Ferrara,35685
Abel Gance,6383
Abhishek Kapoor,19580
Abner Benaim,342
Abner Biberman,427
Abolfazl Jalili,252
Abolhassan Davoodi,484
Abraham Polonsky,5336
Abram Cox,1733
Abram Room,971
Abrar Alvi,1371
Abu Sayeed,151
Ace Cruz,249
Achero MaÃ±as,5631
Achim von Borries,3789
Ackyl Anwari,233
Aclan Bates,1307
Adam Abraham,1153
Adam Bernstein,9157
Adam Bhala Lough,967
Adam Brooks,2855
Adam Coleman Howard,2308
Adam Collis,1396
Adam Dubov,192
Adam Elliot,154252
Adam Friedman,390
Adam Gierasch,6800
Adam Goldberg,1726
Adam Green,63495
Adam Grossman,1971
Adam Holender,380
Adam Kane,1339
Adam Marcus,26002
Adam Mason,2800
Adam Massey,271
Adam Matalon,423
Adam McKay,313879
Adam Meyerowitz,404
Adam Pertofsky,127
Adam Protextor,116
Adam Rapp,7928
Adam Reid,275
Adam Resnick,7834
Adam Rifkin,33952
Adam Ripp,1004
Adam Salky,3950
Adam Santangelo,198
Adam Schlachter,207
Adam Shankman,190957
Adam Sherman,584
Adam Simon,3442
Adam Thomas Anderegg,835
Adam Vardy,116
Adam Wingard,69262
Adamo P. Cultraro,321
Adaora Nwandu,211
Addison Randall,227
Adele Bertei,334
Ademir Kenovic,1830
Adewale Akinnuoye-Agbaje,322
Adis Bakrac,257
Aditya Assarat,804
Aditya Chopra,59189
Aditya Datt,1396
Adnan KÃ¶se,237
Adolf Winkelmann,156
Adolfas Mekas,128
Adolfo Alix Jr.,131
Adolfo Aristarain,3656
Adonis Kyrou,250
Adoor Gopalakrishnan,403
AdriÃ¡n GarcÃ­a Bogliano,693
Adrian Carr,171
Adrian Edmondson,8788
Adrian Fulle,127
Adrian Grunberg,23924
Adrian Hoven,218
Adrian Lyne,92740
Adrian Mead,101
Adrian Noble,329
Adrian O'Connell,482
Adrian Pasdar,381
Adrian Popovici,341
Adrian Rudomin,1691
Adrian Shergold,4667
Adrian Sitaru,828
Adrian Vitoria,2546
Adrian Weiss,322
Adriano Celentano,298
Adriano Stuart,287
Adrienne Shelly,42161
Aelrun Goette,142
Ãœmit Ãœnal,1469
Ã‡agan Irmak,70765
Ã‡etin InanÃ§,7003
Ã…ke Lindman,1406
Ã…ke Sandgren,1852
Ã…sleik Engmark,412
Ã–mer Faruk Sorak,51403
Ã–mer Kavur,2977
Ã–mer Ugur,2051
Ã–mer Vargi,19476
Ã–zcan Alper,4898
Ã–zer Kiziltan,10965
Ã–zgÃ¼r Yildirim,3502
Ã‰douard Molinaro,9084
Ã‰lÃ©onore Faucher,1384
Ã‰lie Chouraqui,5896
Ã‰lisabeth Rappeneau,195
Ã‰mile Gaudreault,6128
Ã‰ric Besnard,4285
Ã‰ric Caravaca,158
Ã‰ric Rochat,283
Ã‰ric Rohmer,9300
Ã‰ric Tessier,3038
Ã‰tienne Chatiliez,6551
Ã‰tienne Faure,318
Ã‰va GÃ¡rdos,3674
Ã“scar Aibar,349
Ã“skar JÃ³nasson,2168
ÃgÃºst GuÃ°mundsson,640
Ãgnes Incze,297
Ãgnes Kocsis,457
Ãkos RÃ¡thonyi,396
Ãlex de la Iglesia,26330
Ãlvaro Begines,224
Ãlvaro DÃ­az Lorenzo,377
Ãlvaro de ArmiÃ±Ã¡n,2808
Ãlvaro FernÃ¡ndez Armero,884
Ãlvaro SÃ¡enz de Heredia,403
Ãngel MuÃ±iz,504
Ãron Gauder,1667
Ãron MÃ¡tyÃ¡ssy,193
ÃrpÃ¡d Schilling,234
ÃrpÃ¡d Sopsits,511
Afonso Poyart,51034
Agasi Babayan,194
Agathe Teyssier,100
Agliberto MelÃ©ndez,111
AgnÃ¨s Jaoui,8588
AgnÃ¨s Merlet,5166
AgnÃ¨s Varda,13236
Agneta Elers-Jarleman,173
Agneta FagerstrÃ¶m-Olsson,191
Agnieszka Holland,34010
Agnieszka Wojtowicz-Vosloo,34974
AgustÃ­ Vila,107
AgustÃ­ Villaronga,3767
AgustÃ­n DÃ­az Yanes,11794
Ahathian,1255
Ahmad Reza Darvish,1106
Ahmed Khan,1714
Ahmet UluÃ§ay,5076
Aida Begic,922
Aigars Grauba,1807
Aileen Ritchie,1375
Aisling Walsh,3606
Ajay Chandhok,435
Ajay Devgn,2325
Ajit Pal Mangat,427
Ajoy Kar,228
Akbar Khan,154
Aki KaurismÃ¤ki,20762
Akihiko Shiota,2543
Akihiro Kitamura,128
Akiko Ohku,158
Akinori Nagaoka,146
Akio JissÃ´ji,745
Akio Yoshida,369
Akira Inoue,1036
Akira Kurosawa,292222
Akira Ogata,213
Akiva Schaffer,117303
Akiyuki Shinbo,422
Akiz,2652
Aktan Arym Kubat,512
Aku Akbar,101
Aku Louhimies,5507
Al Adamson,785
Al Christie,265
Al Corley,1385
Al Festa,254
Al Pacino,3595
Al Silliman Jr.,238
Alaa Eddine Aljem,112
Alain BerbÃ©rian,7571
Alain Berliner,8143
Alain Cavalier,760
Alain Chabat,45816
Alain Corneau,6056
Alain de Halleux,203
Alain Delon,1417
Alain Desrochers,1698
Alain Fleischer,114
Alain Fresnot,431
Alain Gomis,132
Alain Gsponer,315
Alain Guiraudie,315
Alain Jakubowicz,490
Alain Jessua,946
Alain Monne,1008
Alain Patrick,166
Alain Payet,371
Alain Resnais,25563
Alain Robak,1324
Alain Robbe-Grillet,1339
Alain Tanner,951
Alain Zaloum,201
Alan Alda,3763
Alan Arkin,2318
Alan B. McElroy,414
Alan Badoev,997
Alan Ball,11129
Alan Beattie,197
Alan Birkinshaw,733
Alan Bridges,1247
Alan Briggs,111
Alan Bromly,112
Alan Brown,1592
Alan Bunce,829
Alan Clarke,9279
Alan Cohn,13023
Alan Cooke,618
Alan Crosland,8372
Alan Cumming,763
Alan Gadney,191
Alan Gibson,5032
Alan Holleb,672
Alan Hruska,394
Alan J. Levi,396
Alan J. Pakula,94891
Alan Jacobs,1122
Alan James,258
Alan Johnson,9634
Alan Le May,167
Alan Madison,112
Alan Mehrez,2727
Alan Metter,29969
Alan Myerson,30769
Alan Pao,2749
Alan Parker,103314
Alan Poul,46755
Alan Rafkin,5365
Alan Rickman,3131
Alan Roberts,593
Alan Rowe Kelly,256
Alan Rudolph,7877
Alan Shapiro,15160
Alan Sharp,245
Alan Smithee,250
Alan Spencer,1478
Alan Stewart,239
Alan Taylor,2372
Alan Wade,1419
Alan White,1323
Alante Kavaite,300
Alastair Reid,774
Albert Band,4071
Albert Brooks,15810
Albert C. Gannaway,162
Albert de Courville,298
Albert Dupontel,3202
Albert Espinosa,268
Albert Finney,568
Albert H. Kelley,112
Albert Hanan Kaminski,407
Albert Herman,244
Albert Lamorisse,1863
Albert Lewin,10931
Albert Magnoli,17959
Albert Parker,1583
Albert Pyun,27500
Albert Ray,761
Albert S. Rogell,1310
Albert Saguer,284
Albert Serra,576
Albert T. Viola,159
Albert Ter Heerdt,2678
Albert Zugsmith,490
Albertina Carri,1031
Alberto Arvelo,164
Alberto Bevilacqua,240
Alberto Cardone,273
Alberto Cavalcanti,2882
Alberto Cavallone,249
Alberto De Martino,3949
Alberto Durant,142
Alberto Fuguet,520
Alberto Gout,486
Alberto Lattuada,2050
Alberto Lecchi,353
Alberto Negrin,520
Alberto RodrÃ­guez,1828
Alberto Rondalli,604
Alberto Sciamma,1039
Alberto Seixas Santos,105
Alberto Sordi,378
Aldo Francia,117
Aldo Lado,2402
Alec Baldwin,4777
Alec Mills,411
Alejandro Agresti,132527
Alejandro AmenÃ¡bar,319583
Alejandro Chomski,3527
Alejandro Doria,4882
Alejandro G. IÃ±Ã¡rritu,276905
Alejandro Galindo,111
Alejandro Gamboa,473
Alejandro GonzÃ¡lez Padilla,158
Alejandro Jodorowsky,32744
Alejandro Lozano,4293
Alejandro Monteverde,10166
Alejandro Rojas,145
Alejandro Saderman,137
Alejandro Sessa,458
Alejandro Springall,500
Alek Keshishian,13155
Alekos Alexandrakis,601
Alekos Sakellarios,1557
Aleks Horvat,583
Aleksandar Petrovic,1750
Aleksander Ford,1560
Aleksandr Andriyevsky,111
Aleksandr Askoldov,1263
Aleksandr Atanesyan,3065
Aleksandr Buravskiy,4267
Aleksandr Dovzhenko,4422
Aleksandr Faintsimmer,103
Aleksandr Gintsburg,224
Aleksandr Gornovskiy,134
Aleksandr Khvan,139
Aleksandr Medvedkin,868
Aleksandr Melnik,1593
Aleksandr Mitta,2191
Aleksandr Proshkin,1770
Aleksandr Ptushko,1013
Aleksandr Rogozhkin,7045
Aleksandr Rou,4118
Aleksandr Sery,9558
Aleksandr Sokurov,17641
Aleksandr Zakharov,127
Aleksandr Zarkhi,801
Aleksandr Zeldovich,307
Aleksey Balabanov,14876
Aleksey Fedorchenko,645
Aleksey German,1819
Aleksey German Jr.,806
Aleksey Sidorov,1786
Aleksey Uchitel,1705
Aleksi MÃ¤kelÃ¤,4546
Aleksi SalmenperÃ¤,1919
Aleksi Vellis,1902
Alessandro Angelini,256
Alessandro Baricco,325
Alessandro Blasetti,703
