Director,Min Votes
'Evil' Ted Smith,261
'Philthy' Phil Phillips,159
A. Bhimsingh,127
A. Dean Bell,241
A. Edward Sutherland,100
A. Karunakaran,1119
A. Raven Cruz,565
A.C. Trilogchander,146
A.D. Calvo,569
A.J. Kparr,430
A.P. Nagarajan,278
A.R. Murugadoss,1112
A.S. Ravi Kumar Chowdary,164
A.W. Vidmer,1980
Aage Rais-Nordentoft,151
Aanand L. Rai,325
Aarne Tarkas,103
Aaron Barsky,359
Aaron Harvey,358
Aaron J. Wiederspahn,553
Aaron James,113
Aaron Kim Johnston,862
Aaron Lipstadt,1122
Aaron Mendelsohn,132
Aaron Michael Metchik,106
Aaron Norris,1454
Aaron Osborne,211
Aaron Robson,258
Aaron Schneider,21443
Aaron Vanek,148
Aaron Woodley,656
Aaron Woolfolk,161
AarÃ³n FernÃ¡ndez Lesur,175
Abbas Fahdel,206
Abbas Kiarostami,1138
Abbas Tyrewala,1733
Abbe Wool,1115
Abby Berlin,113
Abdelkrim Bahloul,131
Abdellatif Kechiche,707
Abderrahmane Sissako,326
Abdul Malik Abbott,1819
Abdullah Oguz,1262
Abe Forsythe,337
Abe Levitow,1548
Abe Sylvia,10103
Abel Ferrara,1056
Abel Gance,116
Abhishek Kapoor,283
Abner Benaim,342
Abner Biberman,234
Abolfazl Jalili,101
Abolhassan Davoodi,484
Abraham Polonsky,203
Abram Cox,1733
Abram Room,971
Abrar Alvi,1371
Abu Sayeed,151
Ace Cruz,146
Achero MaÃ±as,3948
Achim von Borries,205
Ackyl Anwari,231
Aclan Bates,1307
Adam Abraham,1153
Adam Bernstein,1326
Adam Bhala Lough,566
Adam Brooks,182
Adam Coleman Howard,2308
Adam Collis,1396
Adam Dubov,192
Adam Elliot,154252
Adam Friedman,390
Adam Gierasch,6072
Adam Goldberg,1726
Adam Green,11652
Adam Grossman,1971
Adam Holender,380
Adam Kane,1339
Adam Marcus,545
Adam Mason,1317
Adam Massey,271
Adam Matalon,423
Adam McKay,157517
Adam Meyerowitz,404
Adam Pertofsky,127
Adam Protextor,116
Adam Rapp,225
Adam Reid,275
Adam Resnick,7834
Adam Rifkin,558
Adam Ripp,1004
Adam Salky,3950
Adam Santangelo,198
Adam Schlachter,207
